text,iso,dimensionality,form,motion_type,motion_class,motion_sense,semantic_type,motion_signal_type
Highlights,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
Prado,O,,,,,,,
Museum,O,,,,,,,
Spanish,O,,,,,,,
:,O,,,,,,,
Alongside,O,,,,,,,
modern,O,,,,,,,
master,O,,,,,,,
Pablo,O,,,,,,,
Picasso,O,,,,,,,
",",O,,,,,,,
Diego,O,,,,,,,
Velázquez,O,,,,,,,
y,O,,,,,,,
Silva,O,,,,,,,
(,O,,,,,,,
1599–1660,O,,,,,,,
),O,,,,,,,
is,O,,,,,,,
the,O,,,,,,,
most,O,,,,,,,
famous,O,,,,,,,
Spanish,O,,,,,,,
painter,O,,,,,,,
who,O,,,,,,,
ever,O,,,,,,,
lived,O,,,,,,,
.,O,,,,,,,
He,O,,,,,,,
was,O,,,,,,,
hired,O,,,,,,,
by,O,,,,,,,
king,O,,,,,,,
Felipe,O,,,,,,,
IV,O,,,,,,,
and,O,,,,,,,
became,O,,,,,,,
an,O,,,,,,,
amazingly,O,,,,,,,
perceptive,O,,,,,,,
court,O,,,,,,,
painter,O,,,,,,,
and,O,,,,,,,
",",O,,,,,,,
quite,O,,,,,,,
simply,O,,,,,,,
",",O,,,,,,,
the,O,,,,,,,
greatest,O,,,,,,,
Spanish,O,,,,,,,
artist,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
Golden,O,,,,,,,
Age,O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
royal,O,,,,,,,
family,O,,,,,,,
is,O,,,,,,,
featured,O,,,,,,,
in,O,,,,,,,
his,O,,,,,,,
seminal,O,,,,,,,
work,O,,,,,,,
",",O,,,,,,,
Las,O,,,,,,,
Meninas,O,,,,,,,
(,O,,,,,,,
the,O,,,,,,,
Maids,O,,,,,,,
of,O,,,,,,,
Honor,O,,,,,,,
),O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
artist,O,,,,,,,
painted,O,,,,,,,
himself,O,,,,,,,
with,O,,,,,,,
palette,O,,,,,,,
in,O,,,,,,,
hand,O,,,,,,,
at,O,,,,,,,
the,O,,,,,,,
left,O,,,,,,,
side,O,,,,,,,
of,O,,,,,,,
his,O,,,,,,,
own,O,,,,,,,
masterpiece,O,,,,,,,
",",O,,,,,,,
in,O,,,,,,,
a,O,,,,,,,
sense,O,,,,,,,
part,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
family,O,,,,,,,
",",O,,,,,,,
as,O,,,,,,,
he,O,,,,,,,
became,O,,,,,,,
in,O,,,,,,,
real,O,,,,,,,
life,O,,,,,,,
.,O,,,,,,,
Another,O,,,,,,,
vast,O,,,,,,,
",",O,,,,,,,
unforgettable,O,,,,,,,
Velázquez,O,,,,,,,
canvas,SPATIAL_ENTITY,AREA,NOM,,,,,
here,PLACE,VOLUME,NOM,,,,,
is,O,,,,,,,
Surrender,SPATIAL_ENTITY,AREA,NAM,,,,,
of,SPATIAL_ENTITY,AREA,NAM,,,,,
Breda,SPATIAL_ENTITY,AREA,NAM,,,,,
of,O,,,,,,,
Breda,O,,,,,,,
",",O,,,,,,,
commemorating,O,,,,,,,
a,O,,,,,,,
Spanish,O,,,,,,,
victory,O,,,,,,,
over,O,,,,,,,
Dutch,O,,,,,,,
forces,O,,,,,,,
in,O,,,,,,,
1625,O,,,,,,,
.,O,,,,,,,
The,O,,,,,,,
chivalry,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
winning,O,,,,,,,
general,O,,,,,,,
",",O,,,,,,,
the,O,,,,,,,
exhaustion,O,,,,,,,
of,O,,,,,,,
the,O,,,,,,,
loser,O,,,,,,,
",",O,,,,,,,
the,O,,,,,,,
less,O,,,,,,,
disguised,O,,,,,,,
emotions,O,,,,,,,
of,O,,,,,,,
their,O,,,,,,,
retinues,O,,,,,,,
",",O,,,,,,,
the,O,,,,,,,
array,O,,,,,,,
of,O,,,,,,,
upraised,O,,,,,,,
lances,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
the,O,,,,,,,
burning,O,,,,,,,
landscape,O,,,,,,,
communicated,O,,,,,,,
a,O,,,,,,,
profound,O,,,,,,,
pathos,O,,,,,,,
.,O,,,,,,,
Elsewhere,PLACE,VOLUME,NOM,,,,,
are,O,,,,,,,
Velázquez,O,,,,,,,
’s,O,,,,,,,
portraits,SPATIAL_ENTITY,AREA,NOM,,,,,
of,O,,,,,,,
the,O,,,,,,,
high,O,,,,,,,
and,O,,,,,,,
the,O,,,,,,,
mighty,O,,,,,,,
",",O,,,,,,,
along,O,,,,,,,
with,O,,,,,,,
studies,SPATIAL_ENTITY,POINT,NOM,,,,,
of,O,,,,,,,
fun,O,,,,,,,
-,O,,,,,,,
loving,O,,,,,,,
",",O,,,,,,,
ordinary,O,,,,,,,
mortals,O,,,,,,,
.,O,,,,,,,
Other,O,,,,,,,
great,O,,,,,,,
works,O,,,,,,,
include,O,,,,,,,
Las,O,,,,,,,
Hilanderas,O,,,,,,,
(,O,,,,,,,
The,O,,,,,,,
Spinners,O,,,,,,,
),O,,,,,,,
and,O,,,,,,,
Los,O,,,,,,,
Borrachos,O,,,,,,,
(,O,,,,,,,
The,O,,,,,,,
Drunkards,O,,,,,,,
),O,,,,,,,
.,O,,,,,,,
Francisco,SPATIAL_ENTITY,POINT,NAM,,,,,
de,SPATIAL_ENTITY,POINT,NAM,,,,,
Goya,SPATIAL_ENTITY,POINT,NAM,,,,,
de,O,,,,,,,
Goya,O,,,,,,,
(,O,,,,,,,
1746–1828,O,,,,,,,
),O,,,,,,,
",",O,,,,,,,
another,O,,,,,,,
court,O,,,,,,,
painter,O,,,,,,,
",",O,,,,,,,
had,O,,,,,,,
a,O,,,,,,,
tumultuous,O,,,,,,,
",",O,,,,,,,
wildly,O,,,,,,,
varied,O,,,,,,,
career,O,,,,,,,
",",O,,,,,,,
and,O,,,,,,,
excellent,O,,,,,,,
selections,O,,,,,,,
from,O,,,,,,,
nearly,O,,,,,,,
every,O,,,,,,,
phase,O,,,,,,,
of,O,,,,,,,
it,O,,,,,,,
are,O,,,,,,,
collected,NONMOTION_EVENT,,,,,,,
in,SPATIAL_SIGNAL,,,,,,TOPOLOGICAL,
the,O,,,,,,,
Prado,PLACE,AREA,NAM,,,,,
",",O,,,,,,,
which,PLACE,AREA,NOM,,,,,
has,O,,,,,,,
the,O,,,,,,,
largest,O,,,,,,,
Goya,O,,,,,,,
ensemble,O,,,,,,,
in,O,,,,,,,
the,O,,,,,,,
world,O,,,,,,,
.,O,,,,,,,
A,O,,,,,,,
philanderer,O,,,,,,,
in,O,,,,,,,
his,O,,,,,,,
youth,O,,,,,,,
",",O,,,,,,,
Goya,SPATIAL_ENTITY,POINT,NAM,,,,,
fled,MOTION,,,PATH,LEAVE,LITERAL,,
Zaragoza,PLACE,AREA,NAM,,,,,
in,O,,,,,,,
1763,O,,,,,,,
for,O,,,,,,,
the,O,,,,,,,
anonymity,O,,,,,,,
of,O,,,,,,,
Madrid,PLACE,AREA,NAM,,,,,
.,O,,,,,,,
He,SPATIAL_ENTITY,POINT,NOM,,,,,
went,O,,,,,,,
on,O,,,,,,,
to,O,,,,,,,
become,O,,,,,,,
the,O,,,,,,,
king,O,,,,,,,
’s,O,,,,,,,
principal,O,,,,,,,
artist,O,,,,,,,
.,O,,,,,,,
Of,O,,,,,,,
all,O,,,,,,,
the,O,,,,,,,
Prado,PLACE,VOLUME,NAM,,,,,
’s,O,,,,,,,
paintings,O,,,,,,,
",",O,,,,,,,
none,O,,,,,,,
is,O,,,,,,,
more,O,,,,,,,
discussed,O,,,,,,,
and,O,,,,,,,
disputed,O,,,,,,,
than,O,,,,,,,
La,O,,,,,,,
Maja,O,,,,,,,
Desnuda,O,,,,,,,
(,O,,,,,,,
The,O,,,,,,,
Naked,O,,,,,,,
Maja,O,,,,,,,
),O,,,,,,,
",",O,,,,,,,
