id,text,iso,link,role
no_id,Highlights,O,,
no_id,of,O,,
no_id,the,O,,
no_id,Prado,O,,
no_id,Museum,O,,
no_id,Spanish,O,,
no_id,:,O,,
no_id,Alongside,O,,
no_id,modern,O,,
no_id,master,O,,
no_id,Pablo,O,,
no_id,Picasso,O,,
no_id,",",O,,
no_id,Diego,O,,
no_id,Velázquez,O,,
no_id,y,O,,
no_id,Silva,O,,
no_id,(,O,,
no_id,1599–1660,O,,
no_id,),O,,
no_id,is,O,,
no_id,the,O,,
no_id,most,O,,
no_id,famous,O,,
no_id,Spanish,O,,
no_id,painter,O,,
no_id,who,O,,
no_id,ever,O,,
no_id,lived,O,,
no_id,.,O,,

no_id,He,O,,
no_id,was,O,,
no_id,hired,O,,
no_id,by,O,,
no_id,king,O,,
no_id,Felipe,O,,
no_id,IV,O,,
no_id,and,O,,
no_id,became,O,,
no_id,an,O,,
no_id,amazingly,O,,
no_id,perceptive,O,,
no_id,court,O,,
no_id,painter,O,,
no_id,and,O,,
no_id,",",O,,
no_id,quite,O,,
no_id,simply,O,,
no_id,",",O,,
no_id,the,O,,
no_id,greatest,O,,
no_id,Spanish,O,,
no_id,artist,O,,
no_id,of,O,,
no_id,the,O,,
no_id,Golden,O,,
no_id,Age,O,,
no_id,.,O,,

no_id,The,O,,
no_id,royal,O,,
no_id,family,O,,
no_id,is,O,,
no_id,featured,O,,
no_id,in,O,,
no_id,his,O,,
no_id,seminal,O,,
no_id,work,O,,
no_id,",",O,,
no_id,Las,O,,
no_id,Meninas,O,,
no_id,(,O,,
no_id,the,O,,
no_id,Maids,O,,
no_id,of,O,,
no_id,Honor,O,,
no_id,),O,,
no_id,.,O,,

no_id,The,O,,
no_id,artist,O,,
no_id,painted,O,,
no_id,himself,O,,
no_id,with,O,,
no_id,palette,O,,
no_id,in,O,,
no_id,hand,O,,
no_id,at,O,,
no_id,the,O,,
no_id,left,O,,
no_id,side,O,,
no_id,of,O,,
no_id,his,O,,
no_id,own,O,,
no_id,masterpiece,O,,
no_id,",",O,,
no_id,in,O,,
no_id,a,O,,
no_id,sense,O,,
no_id,part,O,,
no_id,of,O,,
no_id,the,O,,
no_id,family,O,,
no_id,",",O,,
no_id,as,O,,
no_id,he,O,,
no_id,became,O,,
no_id,in,O,,
no_id,real,O,,
no_id,life,O,,
no_id,.,O,,

no_id,Another,O,,
no_id,vast,O,,
no_id,",",O,,
no_id,unforgettable,O,,
no_id,Velázquez,O,,
se0,canvas,SPATIAL_ENTITY,['QSLINK'],['trajector']
pl0,here,PLACE,['QSLINK'],['landmark']
no_id,is,O,,
se1,Surrender,SPATIAL_ENTITY,,
se1,of,SPATIAL_ENTITY,,
se1,Breda,SPATIAL_ENTITY,,
no_id,",",O,,
no_id,commemorating,O,,
no_id,a,O,,
no_id,Spanish,O,,
no_id,victory,O,,
no_id,over,O,,
no_id,Dutch,O,,
no_id,forces,O,,
no_id,in,O,,
no_id,1625,O,,
no_id,.,O,,

